Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7963094393186657,0.6346749226006192,0.5481283422459893,0.5882352941176471
Random Forest,0.7874911158493249,0.6306620209059234,0.4839572192513369,0.5476550680786687
Gradient Boosting,0.7967306325515281,0.6428571428571429,0.5294117647058824,0.5806451612903226
